Altium Designer Pick and Place Locations
C:\Users\wacker\AppData\Local\TempReleases\Snapshot\1\Assembly\pnp-data\Pick Place for foxbms2-interface-ltc6820.txt

========================================================================================================================
File Design Information:

Date:       11.11.21
Time:       15:27
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

Designator    Comment                   Layer       Footprint                   Center-X(mm) Center-Y(mm) Rotation Description                                                                                                                                          Height(mm) 
R203_4        1k2                       BottomLayer RESC1608X05N                61.5950      50.1650      180      "SMD Resistor 1k2 0603"                                                                                                                              0.4500     
R204_1        10k                       BottomLayer RESC1608X05N                16.1925      61.4363      270      "SMD Resistor 10k 0603"                                                                                                                              0.4500     
R204_2        10k                       BottomLayer RESC1608X05N                32.7025      61.4363      270      "SMD Resistor 10k 0603"                                                                                                                              0.4500     
R204_3        10k                       BottomLayer RESC1608X05N                49.3713      61.4363      270      "SMD Resistor 10k 0603"                                                                                                                              0.4500     
R204_4        10k                       BottomLayer RESC1608X05N                65.8813      61.4363      270      "SMD Resistor 10k 0603"                                                                                                                              0.4500     
R205_1        10k                       BottomLayer RESC1608X05N                14.6050      61.4363      270      "SMD Resistor 10k 0603"                                                                                                                              0.4500     
R205_2        10k                       BottomLayer RESC1608X05N                31.1150      61.4363      270      "SMD Resistor 10k 0603"                                                                                                                              0.4500     
R205_3        10k                       BottomLayer RESC1608X05N                47.7838      61.4363      270      "SMD Resistor 10k 0603"                                                                                                                              0.4500     
R205_4        10k                       BottomLayer RESC1608X05N                64.2938      61.4363      270      "SMD Resistor 10k 0603"                                                                                                                              0.4500     
R206_1        10k                       BottomLayer RESC1608X05N                16.1925      64.1350      270      "SMD Resistor 10k 0603"                                                                                                                              0.4500     
R206_2        10k                       BottomLayer RESC1608X05N                32.7025      64.1350      270      "SMD Resistor 10k 0603"                                                                                                                              0.4500     
R206_3        10k                       BottomLayer RESC1608X05N                49.3713      64.1350      270      "SMD Resistor 10k 0603"                                                                                                                              0.4500     
R206_4        10k                       BottomLayer RESC1608X05N                65.8813      64.1350      270      "SMD Resistor 10k 0603"                                                                                                                              0.4500     
R207_1        10k                       BottomLayer RESC1608X05N                14.6050      64.1350      270      "SMD Resistor 10k 0603"                                                                                                                              0.4500     
R207_2        10k                       BottomLayer RESC1608X05N                31.1150      64.1350      270      "SMD Resistor 10k 0603"                                                                                                                              0.4500     
R207_3        10k                       BottomLayer RESC1608X05N                47.7838      64.1350      270      "SMD Resistor 10k 0603"                                                                                                                              0.4500     
R207_4        10k                       BottomLayer RESC1608X05N                64.2938      64.1350      270      "SMD Resistor 10k 0603"                                                                                                                              0.4500     
R300_1        49R9                      BottomLayer RESC1608X05N                11.1125      42.8625      270      "SMD Resistor 49R9 0603"                                                                                                                             0.4500     
R300_2        49R9                      BottomLayer RESC1608X05N                27.6225      42.8625      270      "SMD Resistor 49R9 0603"                                                                                                                             0.4500     
R300_3        49R9                      BottomLayer RESC1608X05N                44.2913      42.8625      270      "SMD Resistor 49R9 0603"                                                                                                                             0.4500     
R300_4        49R9                      BottomLayer RESC1608X05N                60.8013      42.8625      270      "SMD Resistor 49R9 0603"                                                                                                                             0.4500     
R302_1        49R9                      BottomLayer RESC1608X05N                15.2400      42.8625      90       "SMD Resistor 49R9 0603"                                                                                                                             0.4500     
R302_2        49R9                      BottomLayer RESC1608X05N                31.7500      42.8625      90       "SMD Resistor 49R9 0603"                                                                                                                             0.4500     
R302_3        49R9                      BottomLayer RESC1608X05N                48.4188      42.8625      90       "SMD Resistor 49R9 0603"                                                                                                                             0.4500     
R302_4        49R9                      BottomLayer RESC1608X05N                64.9288      42.8625      90       "SMD Resistor 49R9 0603"                                                                                                                             0.4500     
T1300_1       HM2102NLT                 BottomLayer HM2102NL                    10.1435      33.0098      90       "Pulse HM2102NLT BMS Transformer"                                                                                                                    5.0038     
T1300_2       HM2102NLT                 BottomLayer HM2102NL                    26.6535      33.0098      90       "Pulse HM2102NLT BMS Transformer"                                                                                                                    5.0038     
T1300_3       HM2102NLT                 BottomLayer HM2102NL                    43.3223      33.0098      90       "Pulse HM2102NLT BMS Transformer"                                                                                                                    5.0038     
T1300_4       HM2102NLT                 BottomLayer HM2102NL                    59.8323      33.0098      90       "Pulse HM2102NLT BMS Transformer"                                                                                                                    5.0038     
TP_EN1        Testpoint_Square          TopLayer    Testpoint_S1                8.7312       67.9450      270      "Testpoint, square"                                                                                                                                  8.7000     
TP_EN2        Testpoint_Square          TopLayer    Testpoint_S1                25.2413      67.9450      90       "Testpoint, square"                                                                                                                                  8.7000     
TP_EN3        Testpoint_Square          TopLayer    Testpoint_S1                41.9100      67.9450      90       "Testpoint, square"                                                                                                                                  8.7000     
TP_EN4        Testpoint_Square          TopLayer    Testpoint_S1                58.4200      67.9450      90       "Testpoint, square"                                                                                                                                  8.7000     
TP_GND        Testpoint_Square          TopLayer    Testpoint_S1                22.2250      67.9450      90       "Testpoint, square"                                                                                                                                  8.7000     
TP_MSTR1      Testpoint_Square          TopLayer    Testpoint_S1                10.3188      67.9450      270      "Testpoint, square"                                                                                                                                  8.7000     
TP_MSTR2      Testpoint_Square          TopLayer    Testpoint_S1                26.8288      67.9450      90       "Testpoint, square"                                                                                                                                  8.7000     
TP_MSTR3      Testpoint_Square          TopLayer    Testpoint_S1                43.4975      67.9450      90       "Testpoint, square"                                                                                                                                  8.7000     
TP_MSTR4      Testpoint_Square          TopLayer    Testpoint_S1                60.0075      67.9450      90       "Testpoint, square"                                                                                                                                  8.7000     
TP_PER_3.3V   Testpoint_Square          TopLayer    Testpoint_S1                20.6375      67.9450      90       "Testpoint, square"                                                                                                                                  8.7000     
TP_SPI1.CLK   Testpoint_Square          TopLayer    Testpoint_S1                15.0813      67.9450      270      "Testpoint, square"                                                                                                                                  8.7000     
TP_SPI4.CLK   Testpoint_Square          TopLayer    Testpoint_S1                48.2600      67.9450      90       "Testpoint, square"                                                                                                                                  8.7000     
TP_SPI1.CS1   Testpoint_Square          TopLayer    Testpoint_S1                16.6688      67.9450      270      "Testpoint, square"                                                                                                                                  8.7000     
TP_SPI1.CS2   Testpoint_Square          TopLayer    Testpoint_S1                30.3213      67.9450      270      "Testpoint, square"                                                                                                                                  8.7000     
TP_SPI4.CS0   Testpoint_Square          TopLayer    Testpoint_S1                49.8475      67.9450      90       "Testpoint, square"                                                                                                                                  8.7000     
TP_SPI4.CS1   Testpoint_Square          TopLayer    Testpoint_S1                63.5000      67.9450      90       "Testpoint, square"                                                                                                                                  8.7000     
TP_SPI1.SIMO0 Testpoint_Square          TopLayer    Testpoint_S1                11.9063      67.9450      270      "Testpoint, square"                                                                                                                                  8.7000     
TP_SPI4.SIMO  Testpoint_Square          TopLayer    Testpoint_S1                45.0850      67.9450      90       "Testpoint, square"                                                                                                                                  8.7000     
TP_SPI1.SOMI0 Testpoint_Square          TopLayer    Testpoint_S1                13.4938      67.9450      270      "Testpoint, square"                                                                                                                                  8.7000     
TP_SPI4.SOMI  Testpoint_Square          TopLayer    Testpoint_S1                46.6725      67.9450      90       "Testpoint, square"                                                                                                                                  8.7000     
U200_1        LTC6820HMS                BottomLayer LTC6820-MSOP                13.8113      56.5150      270      "isoSPI Isolated Communications Interface"                                                                                                           1.1000     
U200_2        LTC6820HMS                BottomLayer LTC6820-MSOP                30.3213      56.5150      270      "isoSPI Isolated Communications Interface"                                                                                                           1.1000     
U200_3        LTC6820HMS                BottomLayer LTC6820-MSOP                46.9900      56.5150      270      "isoSPI Isolated Communications Interface"                                                                                                           1.1000     
U200_4        LTC6820HMS                BottomLayer LTC6820-MSOP                63.5000      56.5150      270      "isoSPI Isolated Communications Interface"                                                                                                           1.1000     
