Altium Designer Pick and Place Locations
C:\Users\schwarz\AppData\Local\TempReleases\Snapshot\2\Assembly production\pnp-data\foxbms2-master-pnp-data-v1.1.5.txt

========================================================================================================================
File Design Information:

Date:       25-10-22
Time:       11:51
Revision:   Not in VersionControl
Variant:    production
Units used: mm

Designator  Comment                    Layer    Footprint                     Center-X(mm) Center-Y(mm) Rotation Description                                                                                                                                          Height(mm) 
C7218_2     100n/100V                  TopLayer CAPC1608X08N                  41.2750      65.4050      180      MLCC                                                                                                                                                 0.8000     
C7219_1     1n/100V                    TopLayer CAPC1005X06N                  90.8050      60.3250      270      MLCC                                                                                                                                                 0.5500     
C7219_2     1n/100V                    TopLayer CAPC1005X06N                  50.6413      60.3250      270      MLCC                                                                                                                                                 0.5500     
C7220_1     22u/10V                    TopLayer CAPC3216X18N                  76.6763      56.1975      270      MLCC                                                                                                                                                 1.8000     
C7220_2     22u/10V                    TopLayer CAPC3216X18N                  36.5125      56.1975      270      MLCC                                                                                                                                                 1.8000     
C7221_1     100n/50V                   TopLayer CAPC1005X06N                  89.6938      60.3250      270      MLCC                                                                                                                                                 0.5500     
C7221_2     100n/50V                   TopLayer CAPC1005X06N                  49.5300      60.3250      270      MLCC                                                                                                                                                 0.5500     
C7222_1     100n/50V                   TopLayer CAPC1005X06N                  90.0113      46.6725      90       MLCC                                                                                                                                                 0.5500     
C7222_2     100n/50V                   TopLayer CAPC1005X06N                  49.8475      46.6725      90       MLCC                                                                                                                                                 0.5500     
C7223_1     100n/50V                   TopLayer CAPC1005X06N                  98.7425      50.9588      90       MLCC                                                                                                                                                 0.5500     
C7223_2     100n/50V                   TopLayer CAPC1005X06N                  58.5788      50.9588      90       MLCC                                                                                                                                                 0.5500     
C7224_1     10u/16V                    TopLayer CAPC2012X14N                  100.4888     50.8000      90       MLCC                                                                                                                                                 1.4500     
C7224_2     10u/16V                    TopLayer CAPC2012X14N                  60.3250      50.8000      90       MLCC                                                                                                                                                 1.4500     
C7225_1     47n/100V                   TopLayer CAPC1608X08N                  76.6763      63.5000      0        MLCC                                                                                                                                                 0.8000     
C7225_2     47n/100V                   TopLayer CAPC1608X08N                  36.5125      63.5000      0        MLCC                                                                                                                                                 0.8000     
C7226_1     100n/100V                  TopLayer CAPC1608X08N                  81.4388      63.5000      180      MLCC                                                                                                                                                 0.8000     
C7226_2     100n/100V                  TopLayer CAPC1608X08N                  41.2750      63.5000      180      MLCC                                                                                                                                                 0.8000     
C7227_1     100n/50V                   TopLayer CAPC1005X06N                  103.8225     58.4200      180      MLCC                                                                                                                                                 0.5500     
C7227_2     100n/50V                   TopLayer CAPC1005X06N                  63.6588      58.4200      180      MLCC                                                                                                                                                 0.5500     
C7228_1     100n/50V                   TopLayer CAPC1005X06N                  83.1850      52.5463      90       MLCC                                                                                                                                                 0.5500     
C7228_2     100n/50V                   TopLayer CAPC1005X06N                  43.0213      52.5463      90       MLCC                                                                                                                                                 0.5500     
C7229_1     10u/16V                    TopLayer CAPC2012X14N                  81.5975      52.0700      90       MLCC                                                                                                                                                 1.4500     
C7229_2     10u/16V                    TopLayer CAPC2012X14N                  41.4338      52.0700      90       MLCC                                                                                                                                                 1.4500     
C7230_1     100n/50V                   TopLayer CAPC1005X06N                  83.1850      54.6100      270      MLCC                                                                                                                                                 0.5500     
C7230_2     100n/50V                   TopLayer CAPC1005X06N                  43.0213      54.6100      270      MLCC                                                                                                                                                 0.5500     
C7231_1     100n/50V                   TopLayer CAPC1005X06N                  105.8863     43.4975      90       MLCC                                                                                                                                                 0.5500     
C7231_2     100n/50V                   TopLayer CAPC1005X06N                  65.7225      43.4975      90       MLCC                                                                                                                                                 0.5500     
C7232_1     100n/50V                   TopLayer CAPC1005X06N                  85.4075      60.3250      270      MLCC                                                                                                                                                 0.5500     
C7232_2     100n/50V                   TopLayer CAPC1005X06N                  45.2438      60.3250      270      MLCC                                                                                                                                                 0.5500     
C7233_1     10u/16V                    TopLayer CAPC2012X14N                  83.8200      60.3250      270      MLCC                                                                                                                                                 1.4500     
C7233_2     10u/16V                    TopLayer CAPC2012X14N                  43.6563      60.3250      270      MLCC                                                                                                                                                 1.4500     
C7234_1     100n/50V                   TopLayer CAPC1005X06N                  88.5825      60.3250      270      MLCC                                                                                                                                                 0.5500     
C7234_2     100n/50V                   TopLayer CAPC1005X06N                  48.4188      60.3250      270      MLCC                                                                                                                                                 0.5500     
C7235_1     10u/16V                    TopLayer CAPC2012X14N                  86.9950      60.3250      270      MLCC                                                                                                                                                 1.4500     
C7235_2     10u/16V                    TopLayer CAPC2012X14N                  46.8313      60.3250      270      MLCC                                                                                                                                                 1.4500     
C7236_1     1n/100V                    TopLayer CAPC1005X06N                  90.0113      42.3863      90       MLCC                                                                                                                                                 0.5500     
C7236_2     1n/100V                    TopLayer CAPC1005X06N                  49.8475      42.3863      90       MLCC                                                                                                                                                 0.5500     
C7237_1     1n/100V                    TopLayer CAPC1005X06N                  87.7887      42.3863      90       MLCC                                                                                                                                                 0.5500     
C7237_2     1n/100V                    TopLayer CAPC1005X06N                  47.6250      42.3863      90       MLCC                                                                                                                                                 0.5500     
C7238_1     100n/50V                   TopLayer CAPC1005X06N                  106.9975     55.0863      90       MLCC                                                                                                                                                 0.5500     
C7238_2     100n/50V                   TopLayer CAPC1005X06N                  66.8338      55.0863      90       MLCC                                                                                                                                                 0.5500     
C7239_1     22u/10V                    TopLayer CAPC3216X18N                  105.2513     55.0863      90       MLCC                                                                                                                                                 1.8000     
C7239_2     22u/10V                    TopLayer CAPC3216X18N                  65.0875      55.0863      90       MLCC                                                                                                                                                 1.8000     
C7240_1     22u/10V                    TopLayer CAPC3216X18N                  102.8700     55.0863      90       MLCC                                                                                                                                                 1.8000     
C7240_2     22u/10V                    TopLayer CAPC3216X18N                  62.7063      55.0863      90       MLCC                                                                                                                                                 1.8000     
C7241_1     10u/16V                    TopLayer CAPC2012X14N                  94.4563      60.3250      270      MLCC                                                                                                                                                 1.4500     
C7241_2     10u/16V                    TopLayer CAPC2012X14N                  54.2925      60.3250      270      MLCC                                                                                                                                                 1.4500     
C7242_1     100n/50V                   TopLayer CAPC1005X06N                  96.2025      59.0550      270      MLCC                                                                                                                                                 0.5500     
C7242_2     100n/50V                   TopLayer CAPC1005X06N                  56.0388      59.0550      270      MLCC                                                                                                                                                 0.5500     
C7243_1     47n/50V                    TopLayer CAPC1005X06N                  81.4388      42.8888      90       MLCC                                                                                                                                                 0.5500     
C7243_2     47n/50V                    TopLayer CAPC1005X06N                  41.2750      42.8888      90       MLCC                                                                                                                                                 0.5500     
C7244_1     10n/25V                    TopLayer CAPC1005X06N                  82.7088      42.8888      90       MLCC                                                                                                                                                 0.5500     
C7244_2     10n/25V                    TopLayer CAPC1005X06N                  42.5450      42.8888      90       MLCC                                                                                                                                                 0.5500     
C7245_1     10n/25V                    TopLayer CAPC1005X06N                  97.7900      47.4663      90       MLCC                                                                                                                                                 0.5500     
C7245_2     10n/25V                    TopLayer CAPC1005X06N                  57.6263      47.4663      90       MLCC                                                                                                                                                 0.5500     
C7246_1     100n/50V                   TopLayer CAPC1005X06N                  106.9975     50.1650      270      MLCC                                                                                                                                                 0.5500     
C7246_2     100n/50V                   TopLayer CAPC1005X06N                  66.8338      50.1650      270      MLCC                                                                                                                                                 0.5500     
C7247_1     22u/10V                    TopLayer CAPC3216X18N                  102.8700     50.1650      270      MLCC                                                                                                                                                 1.8000     
C7247_2     22u/10V                    TopLayer CAPC3216X18N                  62.7063      50.1650      270      MLCC                                                                                                                                                 1.8000     
C7248_1     22u/10V                    TopLayer CAPC3216X18N                  105.2513     50.1650      270      MLCC                                                                                                                                                 1.8000     
C7248_2     22u/10V                    TopLayer CAPC3216X18N                  65.0875      50.1650      270      MLCC                                                                                                                                                 1.8000     
C7249_1     100n/50V                   TopLayer CAPC1005X06N                  74.9300      48.7363      270      MLCC                                                                                                                                                 0.5500     
C7249_2     100n/50V                   TopLayer CAPC1005X06N                  34.7663      48.7363      270      MLCC                                                                                                                                                 0.5500     
C7250_1     22u/10V                    TopLayer CAPC3216X18N                  79.2163      48.7363      270      MLCC                                                                                                                                                 1.8000     
C7250_2     22u/10V                    TopLayer CAPC3216X18N                  39.0525      48.7363      270      MLCC                                                                                                                                                 1.8000     
C7251_1     22u/10V                    TopLayer CAPC3216X18N                  76.6763      48.7363      270      MLCC                                                                                                                                                 1.8000     
C7251_2     22u/10V                    TopLayer CAPC3216X18N                  36.5125      48.7363      270      MLCC                                                                                                                                                 1.8000     
C7300_1     100n/50V                   TopLayer CAPC1005X06N                  14.1288      37.3063      0        MLCC                                                                                                                                                 0.5500     
C7300_2     100n/50V                   TopLayer CAPC1005X06N                  14.1288      16.1925      0        MLCC                                                                                                                                                 0.5500     
C7301_1     10u/100V                   TopLayer CAPC5750X28N                  19.6850      50.6413      270      MLCC                                                                                                                                                 2.8000     
C7301_2     10u/100V                   TopLayer CAPC5750X28N                  19.6850      29.5275      270      MLCC                                                                                                                                                 2.8000     
C7302_1     10u/100V                   TopLayer CAPC5750X28N                  25.7175      50.6413      270      MLCC                                                                                                                                                 2.8000     
C7302_2     10u/100V                   TopLayer CAPC5750X28N                  25.7175      29.5275      270      MLCC                                                                                                                                                 2.8000     
C7303_1     47n/50V                    TopLayer CAPC1005X06N                  21.7488      41.4338      0        MLCC                                                                                                                                                 0.5500     
C7303_2     47n/50V                    TopLayer CAPC1005X06N                  21.7488      20.3200      0        MLCC                                                                                                                                                 0.5500     
C7304_1     4u7/100V                   TopLayer CAPC3225X25N                  19.5263      35.5600      0        MLCC                                                                                                                                                 2.5000     
C7304_2     4u7/100V                   TopLayer CAPC3225X25N                  19.5263      14.4463      0        MLCC                                                                                                                                                 2.5000     
C7305_1     220n/35V                   TopLayer CAPC1005X06N                  15.7163      38.5763      270      MLCC                                                                                                                                                 0.5500     
C7305_2     220n/35V                   TopLayer CAPC1005X06N                  15.7163      17.4625      270      MLCC                                                                                                                                                 0.5500     
D1200       "pure green"               TopLayer LEDC1608X07N                  196.8500     77.6288      270      TLMP1100-GS08                                                                                                                                        0.7000     
D1201       "pure green"               TopLayer LEDC1608X07N                  196.8500     73.8188      270      TLMP1100-GS08                                                                                                                                        0.7000     
D4400       1N4148WQ-7-F               TopLayer SOD-123_CASE-425-04-ISSUE-G   141.1288     26.3525      270      Diode                                                                                                                                                1.3500     
D4401       1N4148WQ-7-F               TopLayer SOD-123_CASE-425-04-ISSUE-G   141.1288     31.5913      270      Diode                                                                                                                                                1.3500     
D5000       "pure green"               TopLayer LEDC1608X07N                  155.0988     83.6613      270      TLMP1100-GS08                                                                                                                                        0.7000     
D6400       SZMMSZ4688T1G              TopLayer SOD-123_CASE-425-04-ISSUE-G   49.3713      90.0113      90       "Zener Diode"                                                                                                                                        1.3500     
D6401       SZMMSZ4688T1G              TopLayer SOD-123_CASE-425-04-ISSUE-G   43.0213      88.1063      90       "Zener Diode"                                                                                                                                        1.3500     
D6601       "pure green"               TopLayer LEDC1608X07N                  170.6563     59.2138      180      TLMP1100-GS08                                                                                                                                        0.7000     
D7000       "pure green"               TopLayer LEDC1608X07N                  29.8450      39.0263      90       TLMP1100-GS08                                                                                                                                        0.7000     
D7001       "pure green"               TopLayer LEDC1608X07N                  31.9088      63.1825      90       TLMP1100-GS08                                                                                                                                        0.7000     
D7002       "pure green"               TopLayer LEDC1608X07N                  76.0413      60.6425      270      TLMP1100-GS08                                                                                                                                        0.7000     
D7003       "pure green"               TopLayer LEDC1608X07N                  35.8775      60.6425      270      TLMP1100-GS08                                                                                                                                        0.7000     
D7004       1N4148WQ-7-F               TopLayer SOD-123_CASE-425-04-ISSUE-G   27.6225      18.5738      270      Diode                                                                                                                                                1.3500     
D7005       "pure green"               TopLayer LEDC1608X07N                  29.6863      17.9388      90       TLMP1100-GS08                                                                                                                                        0.7000     
D7006       1N4148WQ-7-F               TopLayer SOD-123_CASE-425-04-ISSUE-G   25.0825      18.5738      270      Diode                                                                                                                                                1.3500     
D8000       1N4148WQ-7-F               TopLayer SOD-123_CASE-425-04-ISSUE-G   152.8763     21.1138      90       Diode                                                                                                                                                1.3500     
D8001       SZNUP2301MW6T1G            TopLayer ONSEMI_SC-88_SOT-363          155.2575     15.3988      270      "TVS diode array"                                                                                                                                    1.1000     
D1102_1     SM24CANB-02HTG             TopLayer LF_SOT23-3                    174.1488     20.6375      180      "CAN ESD Protection Diode Array"                                                                                                                     1.1200     
D1102_2     SM24CANB-02HTG             TopLayer LF_SOT23-3                    189.5475     14.7638      180      "CAN ESD Protection Diode Array"                                                                                                                     1.1200     
D4200_1     SZMMSZ4688T1G              TopLayer SOD-123_CASE-425-04-ISSUE-G   70.3263      39.2113      180      "Zener Diode"                                                                                                                                        1.3500     
D4200_2     SZMMSZ4688T1G              TopLayer SOD-123_CASE-425-04-ISSUE-G   70.3263      36.8300      180      "Zener Diode"                                                                                                                                        1.3500     
D4200_3     SZMMSZ4688T1G              TopLayer SOD-123_CASE-425-04-ISSUE-G   70.3263      34.4488      180      "Zener Diode"                                                                                                                                        1.3500     
D4200_4     SZMMSZ4688T1G              TopLayer SOD-123_CASE-425-04-ISSUE-G   70.3263      32.0675      180      "Zener Diode"                                                                                                                                        1.3500     
D4200_5     SZMMSZ4688T1G              TopLayer SOD-123_CASE-425-04-ISSUE-G   70.3263      29.6863      180      "Zener Diode"                                                                                                                                        1.3500     
D4200_6     SZMMSZ4688T1G              TopLayer SOD-123_CASE-425-04-ISSUE-G   70.3263      27.3050      180      "Zener Diode"                                                                                                                                        1.3500     
D4200_7     SZMMSZ4688T1G              TopLayer SOD-123_CASE-425-04-ISSUE-G   70.3263      24.9237      180      "Zener Diode"                                                                                                                                        1.3500     
D4200_8     SZMMSZ4688T1G              TopLayer SOD-123_CASE-425-04-ISSUE-G   70.3263      22.5425      180      "Zener Diode"                                                                                                                                        1.3500     
D4500_1     SMA6J60A-Q                 TopLayer BOURNS_DO-214AC_SMA           45.5613      21.7488      0        "TVS-Diode DO-214AC (SMA)"                                                                                                                           2.2900     
D4500_2     SMA6J60A-Q                 TopLayer BOURNS_DO-214AC_SMA           89.5350      21.7488      0        "TVS-Diode DO-214AC (SMA)"                                                                                                                           2.2900     
D4501_1     SMA6J60A-Q                 TopLayer BOURNS_DO-214AC_SMA           51.7525      21.7488      180      "TVS-Diode DO-214AC (SMA)"                                                                                                                           2.2900     
D4501_2     SMA6J60A-Q                 TopLayer BOURNS_DO-214AC_SMA           95.7262      21.7488      180      "TVS-Diode DO-214AC (SMA)"                                                                                                                           2.2900     
D4502_1     SMA6J60A-Q                 TopLayer BOURNS_DO-214AC_SMA           57.9438      21.7488      0        "TVS-Diode DO-214AC (SMA)"                                                                                                                           2.2900     
D4502_2     SMA6J60A-Q                 TopLayer BOURNS_DO-214AC_SMA           101.9175     21.7488      0        "TVS-Diode DO-214AC (SMA)"                                                                                                                           2.2900     
D4503_1     SMA6J60A-Q                 TopLayer BOURNS_DO-214AC_SMA           64.1350      21.7488      180      "TVS-Diode DO-214AC (SMA)"                                                                                                                           2.2900     
D4503_2     SMA6J60A-Q                 TopLayer BOURNS_DO-214AC_SMA           108.1088     21.7488      180      "TVS-Diode DO-214AC (SMA)"                                                                                                                           2.2900     
D7200_1     "pure green"               TopLayer LEDC1608X07N                  76.6763      42.8625      90       TLMP1100-GS08                                                                                                                                        0.7000     
D7200_2     "pure green"               TopLayer LEDC1608X07N                  36.5125      42.8625      90       TLMP1100-GS08                                                                                                                                        0.7000     
D7201_1     DFLS130LQ-7                TopLayer PowerDI123                    80.6650      54.9275      0        "Schottky Diode"                                                                                                                                     1.0000     
D7201_2     DFLS130LQ-7                TopLayer PowerDI123                    40.5013      54.9275      0        "Schottky Diode"                                                                                                                                     1.0000     
D7202_1     SZMMSZ4688T1G              TopLayer SOD-123_CASE-425-04-ISSUE-G   102.8700     44.7675      270      "Zener Diode"                                                                                                                                        1.3500     
D7202_2     SZMMSZ4688T1G              TopLayer SOD-123_CASE-425-04-ISSUE-G   62.7063      44.7675      270      "Zener Diode"                                                                                                                                        1.3500     
D7203_1     DFLS1100Q-7                TopLayer PowerDI123                    111.6012     45.1050      90       "Schottky Diode"                                                                                                                                     1.0000     
D7203_2     DFLS1100Q-7                TopLayer PowerDI123                    71.4375      45.1050      90       "Schottky Diode"                                                                                                                                     1.0000     
D7303_1     1N4148WQ-7-F               TopLayer SOD-123_CASE-425-04-ISSUE-G   10.4775      41.4338      0        Diode                                                                                                                                                1.3500     
D7303_2     1N4148WQ-7-F               TopLayer SOD-123_CASE-425-04-ISSUE-G   10.4775      20.3200      0        Diode                                                                                                                                                1.3500     
D7305_1     1N4148WQ-7-F               TopLayer SOD-123_CASE-425-04-ISSUE-G   6.8263       36.5125      0        Diode                                                                                                                                                1.3500     
D7305_2     1N4148WQ-7-F               TopLayer SOD-123_CASE-425-04-ISSUE-G   6.8263       15.3988      0        Diode                                                                                                                                                1.3500     
D7306_1     SZMMSZ5237BT1G             TopLayer SOD-123_CASE-425-04-ISSUE-G   10.4775      38.8938      0        "Zener Diode"                                                                                                                                        1.3500     
D7306_2     SZMMSZ5237BT1G             TopLayer SOD-123_CASE-425-04-ISSUE-G   10.4775      17.7800      0        "Zener Diode"                                                                                                                                        1.3500     
D7307_1     SZMMSZ5261BT1G             TopLayer SOD-123_CASE-425-04-ISSUE-G   14.1763      35.5600      0        "Zener Diode"                                                                                                                                        1.3500     
D7307_2     SZMMSZ5261BT1G             TopLayer SOD-123_CASE-425-04-ISSUE-G   14.1763      14.4463      0        "Zener Diode"                                                                                                                                        1.3500     
FB5000      600?                       TopLayer RESC1005X04N                  146.3675     81.1213      270      "Ferrite Bead"                                                                                                                                       0.4000     
FB5001      600?                       TopLayer RESC1005X04N                  137.3188     81.1213      270      "Ferrite Bead"                                                                                                                                       0.4000     
FB5002      600?                       TopLayer RESC1005X04N                  135.0963     81.1213      270      "Ferrite Bead"                                                                                                                                       0.4000     
J2000       molex_microfit_3_02x2_THT  TopLayer MOLEX_MICROFIT_02x2_THT       38.0000      6.1575       180      "Micro-Fit 3.0 Right Angle Header, 3.00mm Pitch, Dual Row, 4 Circuits, with Snap-in Plastic Peg PCB Lock, Tin, Glow Wire Capable, Black, 43045-0400" 8.7630     
J2001       WE_615008137421            TopLayer WE_615008137421               180.0000     109.8450     180      "Modular Jack WR-MJ, Tab Up"                                                                                                                         13.2500    
J2002       molex_microfit_3_02x2_THT  TopLayer MOLEX_MICROFIT_02x2_THT       49.0000      6.1575       180      "Micro-Fit 3.0 Right Angle Header, 3.00mm Pitch, Dual Row, 4 Circuits, with Snap-in Plastic Peg PCB Lock, Tin, Glow Wire Capable, Black, 43045-0400" 8.7630     
J2003       molex_microfit_3_02x2_THT  TopLayer MOLEX_MICROFIT_02x2_THT       60.0000      6.1575       180      "Micro-Fit 3.0 Right Angle Header, 3.00mm Pitch, Dual Row, 4 Circuits, with Snap-in Plastic Peg PCB Lock, Tin, Glow Wire Capable, Black, 43045-0400" 8.7630     
J2004       molex_microfit_3_02x2_THT  TopLayer MOLEX_MICROFIT_02x2_THT       71.0000      6.1575       180      "Micro-Fit 3.0 Right Angle Header, 3.00mm Pitch, Dual Row, 4 Circuits, with Snap-in Plastic Peg PCB Lock, Tin, Glow Wire Capable, Black, 43045-0400" 8.7630     
J2006       molex_microfit_3_02x2_THT  TopLayer MOLEX_MICROFIT_02x2_THT       82.0000      6.1575       180      "Micro-Fit 3.0 Right Angle Header, 3.00mm Pitch, Dual Row, 4 Circuits, with Snap-in Plastic Peg PCB Lock, Tin, Glow Wire Capable, Black, 43045-0400" 8.7630     
J2007       molex_microfit_3_02x2_THT  TopLayer MOLEX_MICROFIT_02x2_THT       93.0000      6.1575       180      "Micro-Fit 3.0 Right Angle Header, 3.00mm Pitch, Dual Row, 4 Circuits, with Snap-in Plastic Peg PCB Lock, Tin, Glow Wire Capable, Black, 43045-0400" 8.7630     
J2008       molex_microfit_3_02x2_THT  TopLayer MOLEX_MICROFIT_02x2_THT       104.0000     6.1575       180      "Micro-Fit 3.0 Right Angle Header, 3.00mm Pitch, Dual Row, 4 Circuits, with Snap-in Plastic Peg PCB Lock, Tin, Glow Wire Capable, Black, 43045-0400" 8.7630     
J2009       molex_microfit_3_04x2_THT  TopLayer MOLEX_MICROFIT_04x2_THT       20.0000      6.1575       180      "Micro-Fit 3.0 Right Angle Header, 3.00mm Pitch, Dual Row, 8 Circuits, with Snap-in Plastic Peg PCB Lock, Tin, Glow Wire Capable, Black, 43045-0800" 8.7630     
J2010       molex_microfit_3_02x2_THT  TopLayer MOLEX_MICROFIT_02x2_THT       115.0000     6.1575       180      "Micro-Fit 3.0 Right Angle Header, 3.00mm Pitch, Dual Row, 4 Circuits, with Snap-in Plastic Peg PCB Lock, Tin, Glow Wire Capable, Black, 43045-0400" 8.7630     
J2013       molex_microfit_3_03x2_THT  TopLayer MOLEX_MICROFIT_03x2_THT       152.0000     6.1575       180      "Micro-Fit 3.0 Right Angle Header, 3.00mm Pitch, Dual Row, 6 Circuits, with Snap-in Plastic Peg PCB Lock, Tin, Glow Wire Capable, Black, 43045-0600" 8.7630     
J2021       molex_microfit_3_02x2_THT  TopLayer MOLEX_MICROFIT_02x2_THT       166.0000     6.1575       180      "Micro-Fit 3.0 Right Angle Header, 3.00mm Pitch, Dual Row, 4 Circuits, with Snap-in Plastic Peg PCB Lock, Tin, Glow Wire Capable, Black, 43045-0400" 8.7630     
J2024       molex_microfit_3_02x2_THT  TopLayer MOLEX_MICROFIT_02x2_THT       182.0000     6.1575       180      "Micro-Fit 3.0 Right Angle Header, 3.00mm Pitch, Dual Row, 4 Circuits, with Snap-in Plastic Peg PCB Lock, Tin, Glow Wire Capable, Black, 43045-0400" 8.7630     
J2033       molex_microfit_3_01x2_THT  TopLayer MOLEX_MICROFIT_01x2_THT       127.0000     6.1575       180      "Micro-Fit 3.0 Right Angle Header, 3.00mm Pitch, Dual Row, 2 Circuits, with Snap-in Plastic Peg PCB Lock, Tin, Glow Wire Capable, Black, 43045-0200" 8.7630     
J2034       molex_microfit_3_02x2_THT  TopLayer MOLEX_MICROFIT_02x2_THT       138.0000     6.1575       180      "Micro-Fit 3.0 Right Angle Header, 3.00mm Pitch, Dual Row, 4 Circuits, with Snap-in Plastic Peg PCB Lock, Tin, Glow Wire Capable, Black, 43045-0400" 8.7630     
J3000       samtec_FTSH-103-01-L-DV    TopLayer SAMTEC_FTSH-103-01-L-DV       97.4725      43.8150      0        "Board-To-Board Connector, 6pin, 1.27mm"                                                                                                             2.5100     
J3001       samtec_FTSH-103-01-L-DV    TopLayer SAMTEC_FTSH-103-01-L-DV       57.3088      43.8150      0        "Board-To-Board Connector, 6pin, 1.27mm"                                                                                                             2.5100     
J3008       TE_2-5767004-2             TopLayer TE_2-5767004-2                120.0000     74.8350      90       "Connector, SMT, 38 POS, MICTOR"                                                                                                                     5.9900     
J9000       ERM8-020-09.0-L-DV-K-TR    TopLayer SAMTEC_ERM8-020-09.0-L-DV-K   150.0000     115.0000     0        "Edge Rate rugged high-speed connector strips"                                                                                                       12.9100    
J9001       ERM8-030-09.0-L-DV-K-TR    TopLayer SAMTEC_ERM8-030-09.0-L-DV-K   118.0000     36.0000      270      "Edge Rate rugged high-speed connector strips"                                                                                                       12.9100    
J9002       ERM8-060-09.0-L-DV-K-TR    TopLayer SAMTEC_ERM8-060-09.0-L-DV-K   92.0000      115.0000     0        "Edge Rate rugged high-speed connector strips"                                                                                                       12.9100    
L1600       10µH                       TopLayer INDC2012X14N                  157.4800     42.2888      90       "Power Inductor"                                                                                                                                     1.4500     
L1100_1     51uH                       TopLayer MURATA_DLW32SH                177.4825     33.4963      90       "Common Mode Choke"                                                                                                                                  2.5000     
L1100_2     51uH                       TopLayer MURATA_DLW32SH                192.8813     27.6225      90       "Common Mode Choke"                                                                                                                                  2.5000     
L7200_1     1µH                        TopLayer ASPIAIG-S4035                 98.5838      73.6600      0        "Power Inductor"                                                                                                                                     3.7000     
L7200_2     1µH                        TopLayer ASPIAIG-S4035                 58.4200      73.6600      0        "Power Inductor"                                                                                                                                     3.7000     
L7201_1     6.8µH                      TopLayer PA4342.XXXNLT_Footprint_2     101.6000     65.5638      180      "Power Inductor"                                                                                                                                     4.0000     
L7201_2     6.8µH                      TopLayer PA4342.XXXNLT_Footprint_2     61.4363      65.5638      180      "Power Inductor"                                                                                                                                     4.0000     
L7202_1     4.7µH                      TopLayer ASPIAIG-S4035                 80.3275      59.0550      90       "Power Inductor"                                                                                                                                     3.7000     
L7202_2     4.7µH                      TopLayer ASPIAIG-S4035                 40.1638      59.0550      90       "Power Inductor"                                                                                                                                     3.7000     
L7203_1     1µH                        TopLayer TDK_TFM252012                 96.6788      54.7688      90       "Power Inductor"                                                                                                                                     1.2000     
L7203_2     1µH                        TopLayer TDK_TFM252012                 56.5150      54.7688      90       "Power Inductor"                                                                                                                                     1.2000     
